VOLT1,CURR1,RES1,TIME1,STAT1,SOUR1
+4.200000E+01,+6.442500E-06,+9.910000E+37,+0.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.831300E-06,+9.910000E+37,+1.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.785700E-06,+9.910000E+37,+2.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.767100E-06,+9.910000E+37,+3.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.749400E-06,+9.910000E+37,+4.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.733800E-06,+9.910000E+37,+5.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.721400E-06,+9.910000E+37,+6.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.711100E-06,+9.910000E+37,+7.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.701600E-06,+9.910000E+37,+8.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.692500E-06,+9.910000E+37,+9.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.685100E-06,+9.910000E+37,+1.000000E+01,2816,+4.200000E+01
+4.200000E+01,+4.678400E-06,+9.910000E+37,+1.100000E+01,2816,+4.200000E+01
+4.200000E+01,+4.675500E-06,+9.910000E+37,+1.200000E+01,2816,+4.200000E+01
+4.200000E+01,+4.670300E-06,+9.910000E+37,+1.300000E+01,2816,+4.200000E+01
+4.200000E+01,+4.668400E-06,+9.910000E+37,+1.400000E+01,2816,+4.200000E+01
+4.200000E+01,+4.666100E-06,+9.910000E+37,+1.500000E+01,2816,+4.200000E+01
+4.200000E+01,+4.662400E-06,+9.910000E+37,+1.600000E+01,2816,+4.200000E+01
+4.200000E+01,+4.661500E-06,+9.910000E+37,+1.700000E+01,2816,+4.200000E+01
+4.200000E+01,+4.658400E-06,+9.910000E+37,+1.800000E+01,2816,+4.200000E+01
+4.200000E+01,+4.656600E-06,+9.910000E+37,+1.900000E+01,2816,+4.200000E+01
+4.200000E+01,+4.652900E-06,+9.910000E+37,+2.000000E+01,2816,+4.200000E+01
+4.200000E+01,+4.645800E-06,+9.910000E+37,+2.100000E+01,2816,+4.200000E+01
+4.200000E+01,+4.644500E-06,+9.910000E+37,+2.200000E+01,2816,+4.200000E+01
+4.200000E+01,+4.647500E-06,+9.910000E+37,+2.300000E+01,2816,+4.200000E+01
+4.200000E+01,+4.651300E-06,+9.910000E+37,+2.400000E+01,2816,+4.200000E+01
+4.200000E+01,+4.648500E-06,+9.910000E+37,+2.500000E+01,2816,+4.200000E+01
+4.200000E+01,+4.648600E-06,+9.910000E+37,+2.600000E+01,2816,+4.200000E+01
+4.200000E+01,+4.645100E-06,+9.910000E+37,+2.700000E+01,2816,+4.200000E+01
+4.200000E+01,+4.641800E-06,+9.910000E+37,+2.800000E+01,2816,+4.200000E+01
+4.200000E+01,+4.634800E-06,+9.910000E+37,+2.900000E+01,2816,+4.200000E+01
+4.200000E+01,+4.629100E-06,+9.910000E+37,+3.000000E+01,2816,+4.200000E+01
+4.200000E+01,+4.625000E-06,+9.910000E+37,+3.100000E+01,2816,+4.200000E+01
+4.200000E+01,+4.618400E-06,+9.910000E+37,+3.200000E+01,2816,+4.200000E+01
+4.200000E+01,+4.611100E-06,+9.910000E+37,+3.300000E+01,2816,+4.200000E+01
+4.200000E+01,+4.605300E-06,+9.910000E+37,+3.400000E+01,2816,+4.200000E+01
+4.200000E+01,+4.601000E-06,+9.910000E+37,+3.500000E+01,2816,+4.200000E+01
+4.200000E+01,+4.597300E-06,+9.910000E+37,+3.600000E+01,2816,+4.200000E+01
+4.200000E+01,+4.592700E-06,+9.910000E+37,+3.700000E+01,2816,+4.200000E+01
+4.200000E+01,+4.588200E-06,+9.910000E+37,+3.800000E+01,2816,+4.200000E+01
+4.200000E+01,+4.585600E-06,+9.910000E+37,+3.900000E+01,2816,+4.200000E+01
+4.200000E+01,+4.580800E-06,+9.910000E+37,+4.000000E+01,2816,+4.200000E+01
+4.200000E+01,+4.577800E-06,+9.910000E+37,+4.100000E+01,2816,+4.200000E+01
+4.200000E+01,+4.576400E-06,+9.910000E+37,+4.200000E+01,2816,+4.200000E+01
+4.200000E+01,+4.574000E-06,+9.910000E+37,+4.300000E+01,2816,+4.200000E+01
+4.200000E+01,+4.569200E-06,+9.910000E+37,+4.400000E+01,2816,+4.200000E+01
+4.200000E+01,+4.568200E-06,+9.910000E+37,+4.500000E+01,2816,+4.200000E+01
+4.200000E+01,+4.567500E-06,+9.910000E+37,+4.600000E+01,2816,+4.200000E+01
