VOLT1,CURR1,RES1,TIME1,STAT1,SOUR1
+4.200000E+01,+1.677000E-06,+9.910000E+37,+0.000000E+00,2816,+4.200000E+01
+4.200000E+01,+4.105000E-07,+9.910000E+37,+1.000000E+00,2816,+4.200000E+01
+4.200000E+01,+3.109000E-07,+9.910000E+37,+2.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.842000E-07,+9.910000E+37,+3.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.736000E-07,+9.910000E+37,+4.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.673000E-07,+9.910000E+37,+5.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.645000E-07,+9.910000E+37,+6.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.643000E-07,+9.910000E+37,+7.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.636000E-07,+9.910000E+37,+8.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.649000E-07,+9.910000E+37,+9.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.656000E-07,+9.910000E+37,+1.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.664000E-07,+9.910000E+37,+1.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.665000E-07,+9.910000E+37,+1.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.670000E-07,+9.910000E+37,+1.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.682000E-07,+9.910000E+37,+1.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.680000E-07,+9.910000E+37,+1.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.695000E-07,+9.910000E+37,+1.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.693000E-07,+9.910000E+37,+1.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.708000E-07,+9.910000E+37,+1.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.724000E-07,+9.910000E+37,+1.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.738000E-07,+9.910000E+37,+2.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.746000E-07,+9.910000E+37,+2.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.763000E-07,+9.910000E+37,+2.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.756000E-07,+9.910000E+37,+2.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.760000E-07,+9.910000E+37,+2.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.765000E-07,+9.910000E+37,+2.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.765000E-07,+9.910000E+37,+2.600000E+01,2816,+4.200000E+01
