VOLT1,CURR1,RES1,TIME1,STAT1,SOUR1
+4.200000E+01,+5.658500E-06,+9.910000E+37,+0.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.674400E-06,+9.910000E+37,+1.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.424800E-06,+9.910000E+37,+2.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.339000E-06,+9.910000E+37,+3.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.298700E-06,+9.910000E+37,+4.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.276000E-06,+9.910000E+37,+5.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.259300E-06,+9.910000E+37,+6.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.246500E-06,+9.910000E+37,+7.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.234900E-06,+9.910000E+37,+8.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.224900E-06,+9.910000E+37,+9.000000E+00,2816,+4.200000E+01
+4.200000E+01,+2.214300E-06,+9.910000E+37,+1.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.205000E-06,+9.910000E+37,+1.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.197200E-06,+9.910000E+37,+1.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.186700E-06,+9.910000E+37,+1.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.180400E-06,+9.910000E+37,+1.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.174000E-06,+9.910000E+37,+1.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.167700E-06,+9.910000E+37,+1.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.164700E-06,+9.910000E+37,+1.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.162100E-06,+9.910000E+37,+1.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.161800E-06,+9.910000E+37,+1.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.154900E-06,+9.910000E+37,+2.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.148900E-06,+9.910000E+37,+2.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.140300E-06,+9.910000E+37,+2.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.136700E-06,+9.910000E+37,+2.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.134100E-06,+9.910000E+37,+2.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.130300E-06,+9.910000E+37,+2.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.130100E-06,+9.910000E+37,+2.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.127900E-06,+9.910000E+37,+2.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.127000E-06,+9.910000E+37,+2.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.130700E-06,+9.910000E+37,+2.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.135400E-06,+9.910000E+37,+3.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.139700E-06,+9.910000E+37,+3.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.142200E-06,+9.910000E+37,+3.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.145200E-06,+9.910000E+37,+3.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.145700E-06,+9.910000E+37,+3.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.144500E-06,+9.910000E+37,+3.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.142500E-06,+9.910000E+37,+3.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.141200E-06,+9.910000E+37,+3.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.140400E-06,+9.910000E+37,+3.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.134500E-06,+9.910000E+37,+3.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.132900E-06,+9.910000E+37,+4.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.128400E-06,+9.910000E+37,+4.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.123100E-06,+9.910000E+37,+4.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.122400E-06,+9.910000E+37,+4.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.127000E-06,+9.910000E+37,+4.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.133300E-06,+9.910000E+37,+4.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.139100E-06,+9.910000E+37,+4.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.140900E-06,+9.910000E+37,+4.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.142800E-06,+9.910000E+37,+4.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.142000E-06,+9.910000E+37,+4.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.145300E-06,+9.910000E+37,+5.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.147000E-06,+9.910000E+37,+5.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.149000E-06,+9.910000E+37,+5.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.151600E-06,+9.910000E+37,+5.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.154600E-06,+9.910000E+37,+5.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.154800E-06,+9.910000E+37,+5.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.157600E-06,+9.910000E+37,+5.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.156800E-06,+9.910000E+37,+5.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.154000E-06,+9.910000E+37,+5.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.150600E-06,+9.910000E+37,+5.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.146800E-06,+9.910000E+37,+6.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.143900E-06,+9.910000E+37,+6.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.138900E-06,+9.910000E+37,+6.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.134800E-06,+9.910000E+37,+6.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.129000E-06,+9.910000E+37,+6.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.125600E-06,+9.910000E+37,+6.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.121200E-06,+9.910000E+37,+6.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.116400E-06,+9.910000E+37,+6.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.111800E-06,+9.910000E+37,+6.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.106300E-06,+9.910000E+37,+6.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.103200E-06,+9.910000E+37,+7.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.100700E-06,+9.910000E+37,+7.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.096400E-06,+9.910000E+37,+7.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.090600E-06,+9.910000E+37,+7.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.086200E-06,+9.910000E+37,+7.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.082800E-06,+9.910000E+37,+7.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.080600E-06,+9.910000E+37,+7.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.075000E-06,+9.910000E+37,+7.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.072100E-06,+9.910000E+37,+7.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.068100E-06,+9.910000E+37,+7.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.065000E-06,+9.910000E+37,+8.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.062800E-06,+9.910000E+37,+8.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.060500E-06,+9.910000E+37,+8.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.057900E-06,+9.910000E+37,+8.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.057300E-06,+9.910000E+37,+8.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.056600E-06,+9.910000E+37,+8.500000E+01,2816,+4.200000E+01
+4.200000E+01,+2.055200E-06,+9.910000E+37,+8.600000E+01,2816,+4.200000E+01
+4.200000E+01,+2.053900E-06,+9.910000E+37,+8.700000E+01,2816,+4.200000E+01
+4.200000E+01,+2.052100E-06,+9.910000E+37,+8.800000E+01,2816,+4.200000E+01
+4.200000E+01,+2.050700E-06,+9.910000E+37,+8.900000E+01,2816,+4.200000E+01
+4.200000E+01,+2.048600E-06,+9.910000E+37,+9.000000E+01,2816,+4.200000E+01
+4.200000E+01,+2.044500E-06,+9.910000E+37,+9.100000E+01,2816,+4.200000E+01
+4.200000E+01,+2.043300E-06,+9.910000E+37,+9.200000E+01,2816,+4.200000E+01
+4.200000E+01,+2.040400E-06,+9.910000E+37,+9.300000E+01,2816,+4.200000E+01
+4.200000E+01,+2.038800E-06,+9.910000E+37,+9.400000E+01,2816,+4.200000E+01
+4.200000E+01,+2.036600E-06,+9.910000E+37,+9.500000E+01,2816,+4.200000E+01
